date,model,portfolio_return
2023-10-31,sample,0.004886481828676377
2023-10-02,ewma,-0.0025058348128452544
2023-10-03,ewma,-0.007583960559659084
2023-10-04,ewma,-0.0023103003432314883
2023-10-05,ewma,-0.005583740688644859
2023-10-06,ewma,0.008559198600341416
2023-10-09,ewma,0.007901907659526601
2023-10-10,ewma,0.004418997833245336
2023-10-11,ewma,-0.00794583734265766
2023-10-12,ewma,-0.003763214463704745
2023-10-13,ewma,0.009155271572554203
2023-10-16,ewma,0.008264887685263803
2023-10-17,ewma,0.00342047402067746
2023-10-18,ewma,-0.0014299828394868925
2023-10-19,ewma,-0.0011586317557849858
2023-10-20,ewma,-0.006369406987089334
2023-10-23,ewma,-0.010466559794534522
2023-10-24,ewma,0.0018600743704108445
2023-10-25,ewma,0.004392577748896152
2023-10-26,ewma,-0.0110243238914989
2023-10-27,ewma,-0.014753520425762025
2023-10-30,ewma,0.012861276596157774
2023-10-31,ewma,0.0029479227139207038
2023-10-02,ledoit_wolf,-0.009816319819471342
2023-10-03,ledoit_wolf,-0.0033432817317246687
2023-10-04,ledoit_wolf,-0.0006841210753419256
2023-10-05,ledoit_wolf,-0.006700671354785046
2023-10-06,ledoit_wolf,0.00945831569035597
2023-10-09,ledoit_wolf,0.006825888223865912
2023-10-10,ledoit_wolf,0.00691825676154824
2023-10-11,ledoit_wolf,-0.004819417103887039
2023-10-12,ledoit_wolf,-0.006908077320806676
2023-10-13,ledoit_wolf,0.009100486254263965
2023-10-16,ledoit_wolf,0.007531527508323917
2023-10-17,ledoit_wolf,0.0018442541967315506
2023-10-18,ledoit_wolf,-0.0046578103446419826
2023-10-19,ledoit_wolf,-0.002277595421977712
2023-10-20,ledoit_wolf,-0.005153819290574248
2023-10-23,ledoit_wolf,-0.011184795113500252
2023-10-24,ledoit_wolf,0.005549500371570949
2023-10-25,ledoit_wolf,0.00023361267496871006
2023-10-26,ledoit_wolf,-0.003977603402786933
2023-10-27,ledoit_wolf,-0.016954798873838932
2023-10-30,ledoit_wolf,0.010821313280514968
2023-10-31,ledoit_wolf,0.004779205789058695
2023-10-02,equal_weight,-0.008754350355534578
2023-10-03,equal_weight,-0.00960704848970624
2023-10-04,equal_weight,0.000165965786774695
2023-10-05,equal_weight,-0.004012650714319204
2023-10-06,equal_weight,0.011437837375122616
2023-10-09,equal_weight,0.007440944380818474
2023-10-10,equal_weight,0.007763015328956149
2023-10-11,equal_weight,0.005862126430577547
2023-10-12,equal_weight,-0.007254759144307169
2023-10-13,equal_weight,0.0030580436722400244
2023-10-16,equal_weight,0.00931083692125751
2023-10-17,equal_weight,0.0010202474385443004
2023-10-18,equal_weight,-0.013216182550823321
2023-10-19,equal_weight,-0.005920029836495741
2023-10-20,equal_weight,-0.009154102144783901
2023-10-23,equal_weight,-0.007490849636069744
2023-10-24,equal_weight,0.007268112123991532
2023-10-25,equal_weight,-0.011488845179874736
2023-10-26,equal_weight,-0.002262661221618638
2023-10-27,equal_weight,-0.00790354219869142
2023-10-30,equal_weight,0.0143162112065597
2023-10-31,equal_weight,0.003645305819961756
2023-11-01,sample,-0.00016571887739015318
2023-11-02,sample,0.014242575972369428
2023-11-03,sample,0.0006400347404836684
2023-11-06,sample,-0.0009302149002938323
2023-11-07,sample,-0.006608107617627538
2023-11-08,sample,-0.006240397823128008
2023-11-09,sample,-0.006778236929908633
2023-11-10,sample,0.0052735432885928565
2023-11-13,sample,-0.0003854427242865105
2023-11-14,sample,0.012436451545188708
2023-11-15,sample,0.0023646880486871283
2023-11-16,sample,0.004742836066140009
2023-11-17,sample,-0.0001809720479579397
2023-11-20,sample,0.0010694983419334923
2023-11-21,sample,0.004755546586466661
2023-11-22,sample,0.0046305338149733675
2023-11-24,sample,0.0042478341667975695
2023-11-27,sample,-0.0027289857272726767
2023-11-28,sample,0.005880581475221297
2023-11-29,sample,-0.004259273864158757
2023-11-30,sample,0.013166135924386079
2023-11-01,ewma,0.002646160736853949
2023-11-02,ewma,0.017559895978829496
2023-11-03,ewma,0.002729531761006473
2023-11-06,ewma,-0.0028215802508743575
2023-11-07,ewma,-0.004144699736875263
2023-11-08,ewma,-0.008181596378668169
2023-11-09,ewma,-0.007135738633124354
2023-11-10,ewma,0.009544054540875462
2023-11-13,ewma,0.0009841339061126128
2023-11-14,ewma,0.013528553415174924
2023-11-15,ewma,0.0015325067521075354
2023-11-16,ewma,0.005845182475368348
2023-11-17,ewma,-0.001691845286376351
2023-11-20,ewma,0.00427510611989781
2023-11-21,ewma,0.002273848803663297
2023-11-22,ewma,0.0043647788655740705
2023-11-24,ewma,0.0021564554583021474
2023-11-27,ewma,-0.0006906858653207501
2023-11-28,ewma,0.010648052724914672
2023-11-29,ewma,-0.003751015049191328
2023-11-30,ewma,0.00991902394601482
2023-11-01,ledoit_wolf,-7.015673584151103e-07
2023-11-02,ledoit_wolf,0.014278778658979245
2023-11-03,ledoit_wolf,0.0006570819296566802
2023-11-06,ledoit_wolf,-0.001032675726825117
2023-11-07,ledoit_wolf,-0.006880629394380417
2023-11-08,ledoit_wolf,-0.006174550908800607
2023-11-09,ledoit_wolf,-0.0067139115265316745
2023-11-10,ledoit_wolf,0.005347237967562777
2023-11-13,ledoit_wolf,-0.0003152990502421128
2023-11-14,ledoit_wolf,0.012401435272457092
2023-11-15,ledoit_wolf,0.002362186571311456
2023-11-16,ledoit_wolf,0.004734020664751995
2023-11-17,ledoit_wolf,-0.00023043262965694798
2023-11-20,ledoit_wolf,0.0010314548312143474
2023-11-21,ledoit_wolf,0.0047413321015456105
2023-11-22,ledoit_wolf,0.004547374250631377
